raceno,racetitle,raceurl,race_metadata,url1,url2,url3,url4,url5,new_t3,time1,time2,time3,time4,time5,name1,name2,name3,name4,name5,top50_time,totalPlayer,raceStart,new_t50,map
1,First!,,,Jajajosh,ISAB,FriarTruck,NOMADIA,ddkkoomm,0,90084,94467,96301,97201,97217,Jajajosh,ISAB,FriarTruck,NOMADIA,ddkkoomm,115801,0,1544601600000,0,TownCenter
2,Primary Qualifiers,,,notinth,ISAB,SJB,TheDarkLink,Mat,0,146834,146884,151201,151484,157617,notinth,ISAB,SJB,SnowyOwl <3,Matthew Lim,193351,0,1545292800000,0,MonkeyMeadow
3,"Red, White, and Green",,,SupremeAvocado,ISAB,66,notinth,Pie,0,110751,115167,116134,117084,121701,SupremeAvocado,ISAB,66,notinth,I hate races,144984,0,1545638400000,0,AlpineRun
4,Hardy Racers,,,SupremeAvocado,ISAB,Tobi,TheDarkLink,frds,0,169001,179584,180334,183334,186501,SupremeAvocado,ISAB,TobiBloon439,SnowyOwl <3,frds,223734,0,1545984000000,0,Streambed
5,Happy New Years,,,ISAB,Loaf,SupremeAvocado,Pie,ZX Cai,0,65250,68633,69533,70100,71533,ISAB,Loaf,SupremeAvocado,I hate races,ZX Cai,84450,0,1546329600000,0,TreeStump
6,Military Qualifiers,,,Polaritz,SupremeAvocado,Bradygilg,notinth,FX420blazeit,0,274401,274501,298751,305484,315884,Polaritz,SupremeAvocado,Bradygilg,notinth,14 char. limit,420017,0,1546588800000,0,Cracked
7,Sharp Turns,,,Corncan,SupremeAvocado,Seclate,Kinsboy,WestNileVirus,0,172617,177534,181267,185217,185917,Corncan,SupremeAvocado,YT Seclate,Kinsboy,WestNileVirus,234817,0,1547193600000,0,InTheLoop
8,A Good Alternative,,,Corncan,Seclate,SupremeAvocado,Kinsboy,Pie,0,127517,128501,130184,132084,136750,Corncan,YT- NK:Seclate,SupremeAvocado,Kinsboy,I hate races,158451,0,1547798400000,0,MonkeyMeadow
9,Po-Tay-Toes!,,,Kinsboy,SupremeAvocado,ZX Cai,GreatGumbyGamer,Crimey,0,106184,110134,114317,115567,117384,Kinsboy,SupremeAvocado,dark empirer,ZX Cai,GreatGumbyGamer,129651,0,1548403200000,0,Logs
10,Burnin Rubber,,,SupremeAvocado,Tobi,Kinsboy,Orangutan,VIII,0,340117,342051,351867,361484,390367,SupremeAvocado,TobiBloon439,Kinsboy,Orangutan,VIII,518317,0,1549612800000,0,KartsNDarts
