raceno,racetitle,map,name1,name2,name3,name4,name5,time1,time2,time3,time4,time5,new_t3,new_t50,top50_time,totalPlayer,raceStart,url1,url2,url3,url4,url5,raceurl,race_metadata
1,First!,TownCenter,Jajajosh,ISAB,FriarTruck,NOMADIA,ddkkoomm,90084,94467,96301,97201,97217,0,0,115801,0,1544601600000,Jajajosh,ISAB,FriarTruck,NOMADIA,ddkkoomm,,
2,Primary Qualifiers,MonkeyMeadow,notinth,ISAB,SJB,SnowyOwl <3,Matthew Lim,146834,146884,151201,151484,157617,0,0,193351,0,1545292800000,notinth,ISAB,SJB,TheDarkLink,Mat,,
3,"Red, White, and Green",AlpineRun,SupremeAvocado,ISAB,66,notinth,I hate races,110751,115167,116134,117084,121701,0,0,144984,0,1545638400000,SupremeAvocado,ISAB,66,notinth,Pie,,
4,Hardy Racers,Streambed,SupremeAvocado,ISAB,TobiBloon439,SnowyOwl <3,frds,169001,179584,180334,183334,186501,0,0,223734,0,1545984000000,SupremeAvocado,ISAB,Tobi,TheDarkLink,frds,,
5,Happy New Years,TreeStump,ISAB,Loaf,SupremeAvocado,I hate races,ZX Cai,65250,68633,69533,70100,71533,0,0,84450,0,1546329600000,ISAB,Loaf,SupremeAvocado,Pie,ZX Cai,,
6,Military Qualifiers,Cracked,Polaritz,SupremeAvocado,Bradygilg,notinth,14 char. limit,274401,274501,298751,305484,315884,0,0,420017,0,1546588800000,Polaritz,SupremeAvocado,Bradygilg,notinth,FX420blazeit,,
7,Sharp Turns,InTheLoop,Corncan,SupremeAvocado,YT Seclate,Kinsboy,WestNileVirus,172617,177534,181267,185217,185917,0,0,234817,0,1547193600000,Corncan,SupremeAvocado,Seclate,Kinsboy,WestNileVirus,,
8,A Good Alternative,MonkeyMeadow,Corncan,YT- NK:Seclate,SupremeAvocado,Kinsboy,I hate races,127517,128501,130184,132084,136750,0,0,158451,0,1547798400000,Corncan,Seclate,SupremeAvocado,Kinsboy,Pie,,
9,Po-Tay-Toes!,Logs,Kinsboy,SupremeAvocado,dark empirer,ZX Cai,GreatGumbyGamer,106184,110134,114317,115567,117384,0,0,129651,0,1548403200000,Kinsboy,SupremeAvocado,ZX Cai,GreatGumbyGamer,Crimey,,
10,Burnin Rubber,KartsNDarts,SupremeAvocado,TobiBloon439,Kinsboy,Orangutan,VIII,340117,342051,351867,361484,390367,0,0,518317,0,1549612800000,SupremeAvocado,Tobi,Kinsboy,Orangutan,VIII,,
